Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,50,12,T:System.Windows.Forms.Button,,,,,"this.closeBtn.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 10F, System.Drawing.FontStyle.Bold, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,50,12,T:System.Drawing.Font,,,,,"this.closeBtn.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 10F, System.Drawing.FontStyle.Bold, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,50,12,P:System.Windows.Forms.Control.Font,,,,,"this.closeBtn.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 10F, System.Drawing.FontStyle.Bold, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,49,12,T:System.Windows.Forms.FlatStyle,,,,,this.closeBtn.FlatStyle = System.Windows.Forms.FlatStyle.Flat;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,49,12,T:System.Windows.Forms.FlatStyle,,,,,this.closeBtn.FlatStyle = System.Windows.Forms.FlatStyle.Flat;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,49,12,F:System.Windows.Forms.FlatStyle.Flat,,,,,this.closeBtn.FlatStyle = System.Windows.Forms.FlatStyle.Flat;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,49,12,T:System.Windows.Forms.Button,,,,,this.closeBtn.FlatStyle = System.Windows.Forms.FlatStyle.Flat;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,49,12,T:System.Windows.Forms.FlatStyle,,,,,this.closeBtn.FlatStyle = System.Windows.Forms.FlatStyle.Flat;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,49,12,P:System.Windows.Forms.ButtonBase.FlatStyle,,,,,this.closeBtn.FlatStyle = System.Windows.Forms.FlatStyle.Flat;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,48,12,T:System.Windows.Forms.DockStyle,,,,,this.closeBtn.Dock = System.Windows.Forms.DockStyle.Left;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,48,12,T:System.Windows.Forms.DockStyle,,,,,this.closeBtn.Dock = System.Windows.Forms.DockStyle.Left;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,48,12,F:System.Windows.Forms.DockStyle.Left,,,,,this.closeBtn.Dock = System.Windows.Forms.DockStyle.Left;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,48,12,T:System.Windows.Forms.Button,,,,,this.closeBtn.Dock = System.Windows.Forms.DockStyle.Left;
